id,Title,Poet,text,ctext,Poem Link,our_summary,prompt_summary
10,Riposte by William Carlos Williams,William Carlos Williams,"Riposte' by William Carlos Williams is a short poem about the power of love and how impossible it is to sustain or control it. In the lines of 'Riposte,' the speaker addresses “townspeople,” a group he refers to as “my townspeople.” He's giving these men and women a lesson in love. He tells them that it is the same as water, air, and poetry. Meaning, it clears the air of poisonous gasses and makes life all-around easier to live. Through the poem, the poet also alludes to humanity's inability to capture and control love, just as they can't control the Atlantic ocean, air, or poetry.","Love is like water or the air
my townspeople;
it cleanses, and dissipates evil gases.
It is like poetry too
and for the same reasons.
Love is so precious
my townspeople
that if I were you I would
have it under lock and key—
like the air or the Atlantic or
like poetry",https://americanliterature.com/author/william-carlos-williams/poem/riposte,"Love is a powerful force that cleanses and brings beauty, much like air and poetry. It should be cherished and protected.","A serene meadow bathed in golden sunlight stretches out under a clear blue sky, with soft breezes gently rustling through tall grass and colorful wildflowers. Two individuals, a young woman and a man, stand apart yet connected by their gazes, their expressions conveying deep emotion and mutual understanding. As they step closer, the air around them seems to shimmer faintly, as if the atmosphere itself is alive with warmth and energy. The woman wears a flowing white dress, her hair flowing freely in the breeze, while the man, dressed in a simple button-up shirt, holds her hand gently. Their connection radiates a sense of pure love and unity, symbolizing the cleansing and transformative power of their bond. Nearby, a young tree sways slightly in the wind, its branches adorned with blooming flowers, as if they share in the beauty of the moment. The scene captures the essence of love as a gentle yet profound force that rejuvenates and enhances the world around it."
11,The Jaguar by Ted Hughes,Ted Hughes,"The Jaguar' by Ted Hughes is a powerful poem that describes a zoo, its sorrowful inhabitants, and the one creature that hasn't given into despair. In the first two stanzas of 'The Jaguar,' Hughes speaker describes a few of the many depressed animals that make up a zoo. They include parrots shrieking for food, apes, and lethargic lions and tigers. He also makes sure, within these lines, to emphasize how “un-wild” these animals are, suggesting that something more, besides their freedom, has been taken from them. In the middle of the poem, he brings in a young child visiting the zoo and uses him to draw the poem towards the jaguar, the centerpiece of the zoo. The cat appears to be, by the speaker's account, the only animal that has a depressed representative of its species. Its power is on full display as the speaker alludes to the wildness that still resides within the cat's eyes and heart.","The apes yawn and adore their fleas in the sun.
The parrots shriek as if they were on fire, or strut
Like cheap tarts to attract the stroller with the nut.
Fatigued with indolence, tiger and lion

Lie still as the sun. The boa-constrictor’s coil
Is a fossil. Cage after cage seems empty, or
Stinks of sleepers from the breathing straw.
It might be painted on a nursery wall.

But who runs like the rest past these arrives
At a cage where the crowd stands, stares, mesmerized,
As a child at a dream, at a jaguar hurrying enraged
Through prison darkness after the drills of his eyes
On a short fierce fuse. Not in boredom—
The eye satisfied to be blind in fire,
By the bang of blood in the brain deaf the ear—
He spins from the bars, but there’s no cage to him

More than to the visionary his cell:
His stride is wildernesses of freedom:
The world rolls under the long thrust of his heel.
Over the cage floor the horizons come.",https://genius.com/Ted-hughes-the-jaguar-annotated,"The animals in the zoo appear lazy and uninteresting, until a furious jaguar captivates the crowd.","A zoo scene bustling with visitors features a variety of animals in their enclosures, but they appear sluggish and unengaging, lounging lazily under the warm afternoon sun. Among the subdued activity, a jaguar in a large open exhibit suddenly springs to attention, its powerful muscles rippling as it stalks toward the glass partition with intense focus. The visitors' heads turn in awe as the jaguar pounces on a branch, showcasing its agility and strength with a graceful leap. The once-languid atmosphere shifts dramatically as the crowd gasps, captivated by the sudden burst of energy and raw power displayed by the majestic predator."
12,Jumbo Jet by Spike Milligan,Spike Milligan,"'Jumbo Jet' by Spike Milligan tells the story of an elephant that is in London and trying to make its way back to Africa. In the first lines of this piece, the speaker begins by telling the reader how he went outside one day and found an elephant in his garden. He was shocked to see him there and told him immediately that he shouldn't be there. The elephant was confused but eventually realized how lost he is. In the next lines, the elephant asks for the speaker's help getting back to Africa and the plains on which he should be roaming. The poem concludes with the speaker describing how the elephant got lost after getting to the Thames Embankment. He was then caught by police, tied up outside to a lamppost, and then become lost once more when he wandered off during the early morning hours. In the final couplet the speaker, in an upbeat tone, assures the reader that if they see an elephant on a “Jumbo Jet” plane that he is simply trying to get home to Africa.","I saw a little elephant standing in my garden,
I said 'You don't belong in here', he said 'I beg your pardon?',
I said 'This place is England, what are you doing here?',
He said 'Ah, then I must be lost' and then 'Oh dear, oh dear'.

'I should be back in Africa, on Saranghetti's Plain',
'Pray, where is the nearest station where I can catch a train?'.
He caught the bus to Finchley and then to Mincing lane,
And over the Embankment, where he got lost, again.

The police they put him in a cell, but it was far too small,
So they tied him to a lampost and he slept against the wall.
But as the policemen lay sleeping by the twinkling light of dawn,
The lampost and the wall were there, but the elephant was gone!

So if you see an elephant, in a Jumbo Jet,
You can be sure that Africa's the place he's trying to get!",https://allpoetry.com/Jumbo-Jet,"The poem tells the story of a lost elephant who mistakenly ends up in England. Despite the confusion, he eventually finds his way back to Africa.","A large, majestic elephant with a grayish-brown skin and long, floppy ears is seen wandering through a bustling English countryside, surrounded by green fields, stone walls, and quaint cottages with thatched roofs. The elephant appears startled, looking around curiously as the scene captures its towering figure against the quaint backdrop. As time passes, the elephant cautiously moves closer to a narrow cobblestone street lined with shop signs in English, hinting at its confusion. In the final moments, the elephant heads toward a lush green forest in the distance, its expression calm and determined as it disappears into the trees, symbolizing its journey back to Africa and its native home."
13,The Spanish Needle by Claude McKay,Claude McKay,"'The Spanish Needle' by Claude McKay is a beautiful, nostalgic poem that looks back on a speaker's childhood. In the stanzas, the speaker asks the Spanish needle, a type of plant, if it remembers him during his youth. He has fond memories of spending time outside, near a river, carrying water, and spending time with his love. It's clear he's feeling nostalgic about his past and hoping that through the plant, a tiny bit of himself still exists in the past.","Lovely dainty Spanish needle
With your yellow flower and white,
Dew bedecked and softly sleeping,
Do you think of me to-night?
Shadowed by the spreading mango,
Nodding o'er the rippling stream,
Tell me, dear plant of my childhood,
Do you of the exile dream?
Do you see me by the brook's side
Catching crayfish 'neath the stone,
As you did the day you whispered:
Leave the harmless dears alone?
Do you see me in the meadow
Coming from the woodland spring
With a bamboo on my shoulder
And a pail slung from a string?
Do you see me all expectant
Lying in an orange grove,
While the swee-swees sing above me,
Waiting for my elf-eyed love?
Lovely dainty Spanish needle,
Source to me of sweet delight,
In your far-off sunny southland
Do you dream of me to-night?",https://poets.org/poem/spanish-needle,"The speaker ponders if the Spanish needle flower, reminiscent of their childhood, thinks of them as they reminisce about their past adventures together.","A serene individual stands in a lush garden filled with vibrant flowers, their gaze soft and distant as they delicately hold a Spanish needle flower. The gentle breeze causes the petals of the flower to sway slightly, and the individual's expression reflects a mix of nostalgia and fondness. Their thoughts seem to wander as they reminisce about cherished memories of their childhood, their eyes glazing over as though envisioning a younger version of themselves exploring a magical realm. The sunlight filters through the leaves of nearby trees, casting dappled patterns on the ground, enhancing the dreamlike quality of the scene. The individual’s contemplative stance and the tranquil surroundings evoke a sense of deep connection and reminiscence."
14,The Flurry by Sharon Olds,Sharon Olds,"The Flurry' by Sharon Olds focuses on a couple planning how they will tell their children of their divorce. The poem explores the end of love, relationships coming to an end, and how that can impact people. Olds moves through many emotions in the poem, beginning with worry and ending with anger. The poem is melancholic, Olds not quite knowing how to deal with the conversation. The poet's partner is pragmatic, planning their future conversation with careful certainty. The final section of the poem focuses on Olds' emotions, her sadness transforming into anger. This anger is the only thing Olds has left now, focusing on that to try and drown out the pain of falling out of love. She has to adapt to the situation as it is, surprised by things that have changed between them.","When we talk about when to tell the kids,
we are so together, so concentrated.
I mutter, “I feel like a killer.” “I’m
the killer”—taking my wrist—he says,
holding it. He is sitting on the couch,
the old indigo chintz around him,
rich as a night sea with jellies,
I am sitting on the floor. I look up at him,
as if within some chamber of matedness,
some dust I carry around me. Tonight,
to breathe its Magellanic field is less
painful, maybe because he is drinking
a wine grown where I was born—fog,
eucalyptus, sempervirens—and I’m
sharing the glass with him. “Don’t catch
my cold,” he says, “—oh that’s right, you want
to catch my cold.” I should not have told him that,
I tell him I will try to fall out of
love with him, but I feel I will love him
all my life. He says he loves me
as the mother of our children, and new troupes
of tears mount to the acrobat platforms
of my ducts and do their burning leaps.
Some of them jump straight sideways, and, for a
moment, I imagine a flurry
of tears like a whirra of knives thrown
at a figure, to outline it—a heart’s spurt
of rage. It glitters, in my vision, I nod
to it, it is my hope.",poetryfoundation.org/poetrymagazine/poems/54907/the-flurry,"The speaker contemplates the difficult task of telling their children something significant. They are sitting with their partner, feeling a range of emotions. The speaker expresses a fear of causing harm but also acknowledges their deep love for their partner. Tears of both sadness and hope fill their eyes.","A middle-aged couple sits on a cozy couch in a warmly lit living room, the golden glow from a nearby lamp casting soft shadows on their faces. The speaker, a man with neatly trimmed hair and a thoughtful expression, has a hand resting on the armrest, his eyes glistening with unshed tears. Beside him, his partner, a woman with shoulder-length brown hair and a calm yet empathetic demeanor, has her hand gently resting on his, her own eyes reflecting a mix of sadness and understanding. The couple exchanges glances, their expressions conveying the weight of an important and emotional conversation. The room’s decor, including framed family photos and a small potted plant on the windowsill, subtly emphasizes the warmth and intimacy of their relationship, while the tension in their expressions captures the emotional complexity of the moment."
15,Pride by Jackie Kay,Jackie Kay,"'Pride' by Jackie Kay is about having pride in one's identity and a woman's extraordinary meeting with a man on a night train. In the first part of the poem, the speaker begins by describing herself on a train during a nighttime journey leaving Euston station. She meets a black man on the train with whom she has an instant connection. She feels as though he can see into her mind and her past. To an extent, this proves to be true. They speak, and he explains that she is Ibo or that she comes from a specific tribe in Africa. This is highly relevant to the speaker, who is on a journey of self-discovery. They converse further, and he makes her feel as though her identity is something to be incredibly proud of. When the poem concludes, it becomes clear that the speaker has imagined this entire interaction.","When I looked up, the black man was there,
staring into my face,
as if he had always been there,
as if he and I went a long way back.
He looked into the dark pool of my eyes
as the train slid out of Euston.
For a long time this went on
the stranger and I looking at each other,
a look that was like something being given
from one to the other.
My whole childhood, l'm quite sure,
passed before him, the worst things
I've ever done, the biggest lies I've ever told.
And he was a little boy on a red dust road.
He stared into the dark depth of me,
and then he spoke:
'lbo
,' he said. 'lbo, definitely.'
Our train rushed through the dark.
'You are an Ibo!' he said, thumping the table.
My coffee jumped and spilled.
Several sleeping people woke.
The night train boasted and whistled
through the English countryside,
past unwritten stops in the blackness.
'That nose is an Ibo nose.
Those teeth are Ibo teeth,' the stranger said,
his voice getting louder and louder.
l had no doubt, from the way he said it,
that Ibo noses are the best noses in the world,
that lbo teeth are perfect pearls.
People were walking down the trembling aisle
to come and look
as the night rain babbled against the window.
There was a moment when
my whole face changed into a map,
and the stranger on the train
located even, the name
of my village in Nigeria
in the lower part of my jaw.
I told him what I'd heard was my father's name.
Okafor. He told me what it meant,
something stunning,
something so apt and astonishing.
Tell me, I asked the black man on the train
who was himself transforming,
at roughly the same speed as the train,
and could have been
at any stop, my brother, my father as a young man,
or any member of my large clan,
Tell me about the lbos.
His face had a look
I've seen on a MacLachlan, a MacDonell, a MacLeod,
the most startling thing, pride,
a quality of being certain.
'Now that I know you are an Ibo, we will eat.'
He produced a spicy meat patty,
ripping it into two.
Tell me about the lbos.
'The lbos are small in stature
Not tall like the Yoruba or Hausa.
The lbos are clever, reliable,
dependable, faithful, true.
The Ibos should be running Nigeria.
There would be none of this corruption.'
And what, I asked, are the lbos faults?
I smiled my newly acquired lbo smile,
flashed my gleaming lbo teeth.
The train grabbed at a bend,
'Faults? No faults. Not a single one.'
'If you went back,' he said brightening,
'The whole village would come out for you.
Massive celebrations. Definitely.
Definitely,' he opened his arms wide.
'The eldest grandchild- fantastic welcome.
If the grandparents are alive.'
I saw myself arriving
the hot dust, the red road,
the trees heavy with other fruits,
the bright things, the flowers.
I saw myself watching
Jackie Kay
Lucozade, The Shoes of Dead Comrades, Pride
the old people dance towards me
dressed up for me in happy prints.
And I found my feet.
I started to dance.
I danced a dance I never knew I knew.
Words and sounds fell out of my mouth like seeds.
I astonished myself.
My grandmother was like me exactly, only darker.
When I looked up, the black man had gone.
Only my own face startled me in the dark train window.",https://ro.uow.edu.au/kunapipi/vol21/iss1/9/,"The poet encounters a stranger who recognizes their shared heritage and celebrates their identity as an Ibo. The stranger praises the qualities of the Ibo people and imagines a joyful homecoming. Inspired, the poet embraces their heritage and experiences a sudden burst of self-expression and belonging. However, when they look up, the stranger is no longer there, leaving the poet to reflect on their own reflection in the window.","A poet stands alone in a quiet urban setting, dressed in a simple yet elegant outfit that reflects subtle cultural patterns inspired by their heritage, such as an embroidered shirt or a traditional head wrap. Their expression is contemplative, yet a faint smile appears as they notice a stranger approaching. The stranger, a kind-looking individual with a warm demeanor, greets them warmly and begins to share stories and praises about the Ibo people, their culture, and values. The scene transitions as the poet's posture straightens, their expression shifting to one of pride and inspiration, with their hands gesturing as they begin to imagine and feel their connection to their heritage. As the moment reaches its peak, the stranger vanishes into the crowd, leaving the poet standing by a large window with soft sunlight streaming through. The poet gazes out at their reflection in the glass, their expression filled with newfound self-awareness and a sense of belonging, their eyes reflecting both nostalgia and hope."
16,Aunt Helen by T.S. Eliot,T.S. Eliot,"Aunt Helen' by T.S. Eliot takes a look into the life of a recently deceased woman who appears to have been unloved while she was alive. The poem details the aftermath of this woman's death. Eliot's speaker discusses the silence on the street and alludes to the lack of mourners around the woman. Despite being her nephew, the speaker does not show any emotion. He is not grieving for her in this elegy, he is simply noting the facts of her death. The strongest emotion in the poem comes at the end when the speaker mentions the housemaid flirting with the footman.","Miss Helen Slingsby was my maiden aunt,
And lived in a small house near a fashionable square
Cared for by servants to the number of four.
Now when she died there was silence in heaven
And silence at her end of the street.
The shutters were drawn and the undertaker wiped his feet—
He was aware that this sort of thing had occurred before.
The dogs were handsomely provided for,
But shortly afterwards the parrot died too.
The Dresden clock continued ticking on the mantelpiece,
And the footman sat upon the dining-table
Holding the second housemaid on his knees—
Who had always been so careful while her mistress lived.",poetryfoundation.org/poetrymagazine/poems/13224/aunt-helen,"Miss Helen Slingsby, a maiden aunt, passes away and her death is met with silence. Her servants are cared for, but her parrot and the dogs also die. Life continues in her house with the ticking clock and a footman embracing the second housemaid.","A grand Victorian-style mansion is depicted, its opulent interior illuminated by soft, muted lighting. In the background, a solemn atmosphere pervades the room, with a vintage clock ticking steadily on the mantlepiece. A parrot, once vibrant, now lies motionless on its perch, its feathers dulled by time. Nearby, a pair of dogs, once lively companions, have also passed away, their presence marked by a quiet stillness. Servants, dressed in period attire, move about the house with subdued efficiency, ensuring the estate runs smoothly. In a tender moment, a footman gently embraces the second housemaid in a quiet corner, their emotions briefly visible amidst the otherwise somber mood. The scene captures the contrast of life’s transition and the quiet perseverance of those left behind."
17,The Art of Drowning by Billy Collins,Billy Collins,"'The Art of Drowning' by Billy Collins speaks humorously on near-death experiences and the idea that one's life could be contained in a “flash”. The poem begins with the speaker asking why and how the idea of life flashing before one's eyes came into being. He is mystified by it and encourages the reader to consider the same question. As the poem progresses he discusses how inadequate and distressing this experience would be. He also proposes a number of alternatives, such as a photo album being turned slowly or an essay. 'The Art of Drowning' ends with the speaker discusses one death by drowning and how one's memories would quickly be forgotten. They'd remain at the surface as one's body drifted to the bottom of a lake.","I wonder how it all got started, this business
about seeing your life flash before your eyes
while you drown, as if panic, or the act of submergence,
could startle time into such compression, crushing
decades in the vice of your desperate, final seconds.

After falling off a steamship or being swept away
in a rush of floodwaters, wouldn't you hope
for a more leisurely review, an invisible hand
turning the pages of an album of photographs-
you up on a pony or blowing out candles in a conic hat.

How about a short animated film, a slide presentation?
Your life expressed in an essay, or in one model photograph?
Wouldn't any form be better than this sudden flash?
Your whole existence going off in your face
in an eyebrow-singeing explosion of biography-
nothing like the three large volumes you envisioned.

Survivors would have us believe in a brilliance
here, some bolt of truth forking across the water,
an ultimate Light before all the lights go out,
dawning on you with all its megalithic tonnage.
But if something does flash before your eyes
as you go under, it will probably be a fish,

a quick blur of curved silver darting away,
having nothing to do with your life or your death.
The tide will take you, or the lake will accept it all
as you sink toward the weedy disarray of the bottom,
leaving behind what you have already forgotten,
the surface, now overrun with the high travel of clouds.",https://www.poemhunter.com/poem/the-art-of-drowning/,"The poem questions the idea of seeing one's life flash before their eyes in moments of danger or death. It suggests that the experience may not be as profound as commonly believed, comparing it to a quick flash of a fish. The narrator wonders if there could be a more leisurely or meaningful way to review one's life before dying. Ultimately, it concludes that the surface of life, filled with fleeting moments, is overshadowed by the vastness of eternity.","A serene figure stands on a tranquil beach at twilight, gazing out at the vast ocean under a deep purple sky. The soft waves gently lap at the shore while the figure’s silhouette is illuminated by the fading light of the setting sun. The scene transitions to a series of fleeting, dreamlike moments: a child laughing on a swing, a couple embracing under a blooming tree, a solitary traveler holding a map against a breathtaking mountain range, and a group of friends sharing stories around a campfire under the stars. These moments are brief, like flashes of light, fading into the vast expanse of the eternal horizon. The figure turns back to the ocean, the stillness of the scene underscoring the profound realization that even the most profound moments of life are but fleeting glimmers against the boundless nature of eternity."
18,Childhood by Frances Cornford,Frances Cornford,"'Childhood' is a moving encounter between a child and an elderly figure, in which the universality of age and mortality become apparent to the child. The poem begins from a point of scepticism on behalf of the narrator who is a small child. They do not believe the cosmetic reminders of age on people they encounter to be anything more than deliberate choices, like the clothes they wear. It is only after they witness an elderly person in distress that they begin to realise that age is something genuinely debilitating and they can no longer return to their earlier ignorance of it.","I used to think that grown-up people chose
To have stiff backs and wrinkles round their nose,
And veins like small fat snakes on either hand,
On purpose to be grand.
Till through the banisters I watched one day
My great-aunt Etty’s friend who was going away,
And how her onyx beads had come unstrung.
I saw her grope to find them as they rolled;
And then I knew that she was helplessly old,
As I was helplessly young.",https://rainydaypoems.com/poems-for-kids/grandparent-poems/childhood-by-frances-cornford/,The poem explores the perception of growing old and the innocence of youth through observation.,"A serene meadow bathed in soft golden sunlight serves as the backdrop, where a young girl with wide-eyed wonder, wearing a floral dress, watches an elderly man sitting on a wooden bench. The man, dressed in a beige sweater and slippers, gazes at her with a calm and contemplative expression. Around them, colorful wildflowers sway gently in the breeze, and a small stream flows nearby, its water shimmering in the sunlight. The girl’s carefree joy contrasts with the man’s serene wisdom, capturing the essence of youth and age intertwined. The scene radiates warmth and quiet reflection, emphasizing the innocent curiosity of youth and the gentle wisdom of experience."
19,Christ of Everywhere by Henry Van Dyke,Henry van Dyke,"'Christ of Everywhere' by Henry Van Dyke is a thoughtful poem about the presence of Christ in all things that human beings do. In the first line of the poem, the speaker begins by describing how Christ is everywhere and can be found in all the faults and good deeds of human beings. Christ is there as human beings sin and strive to be better again. The final lines are addressed to Christ himself and implore him to continue guiding human beings down a righteous path, one that follows Christ's teachings.","""Christ of the Andes,"" Christ of Everywhere,
Great lover of the hills, the open air,
And patient lover of impatient men
Who blindly strive and sin and strive again, —
Thou Living Word, larger than any creed,
Thou Love Divine, uttered in human deed, —
Oh, teach the world, warring and wandering still,
Thy way of Peace, the foot path of Good Will!",https://allpoetry.com/Christ-of-Everywhere,The poem calls upon Christ to guide the world towards peace and goodwill through love and patience.,"A person dressed in simple white robes stands atop a gentle hill under a golden sunset, gazing at a serene landscape with soft rolling hills and a peaceful sky painted in hues of orange and pink. They hold an open book in their hands, its pages shimmering faintly in the soft light, suggesting a sacred text or poem. The scene shifts subtly to show their other hand raised in a gesture of peace and hope. The atmosphere is calm and reflective, with a sense of unity and harmony symbolized by the peaceful skies and the vastness of the landscape."
